Cd,CdTe_0.5Se_0.5,M_i_Cd_site,1.562,4.77,0,0,5,12,0.25,4,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_Cd_site,1.875,6.518,0,0,5,16,0.25,4,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Te,CdTe_0.5Se_0.5,M_i_Cd_site,1.875,6.518,0,-1,5,16,0.25,4,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Se,CdTe_0.5Se_0.5,M_i_Cd_site,1.957,7.08,0,0,4,16,0.25,4,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Se,CdTe_0.5Se_0.5,M_i_Cd_site,1.957,7.08,0,-1,4,16,0.25,4,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Cd,CdTe_0.5Se_0.5,M_i_Cd_site,1.977,7.22,0,-1,5,12,0.25,4,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_Cd_site,2.097,8.145,0,-2,5,16,0.25,4,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Se,CdTe_0.5Se_0.5,M_i_Cd_site,2.216,9.173,0,-2,4,16,0.25,4,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Cd,CdTe_0.5Se_0.5,M_i_Cd_site,2.504,12.229,0,-2,5,12,0.25,4,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Se,CdTe_0.5Se_0.5,M_i_old,-0.677,0.508,0,3,4,16,0.5,3,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Cd,CdTe_0.5Se_0.5,M_i_old,-0.655,0.52,0,3,5,12,0.5,3,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_old,-0.654,0.52,0,3,5,16,0.5,3,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Se,CdTe_0.5Se_0.5,M_i_old,-0.157,0.855,0,2,4,16,0.5,3,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Se,CdTe_0.5Se_0.5,M_i_old,0.292,1.338,0,1,4,16,0.5,3,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Te,CdTe_0.5Se_0.5,M_i_old,0.719,2.051,0,2,5,16,0.5,3,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Cd,CdTe_0.5Se_0.5,M_i_old,0.841,2.319,0,2,5,12,0.5,3,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_old,1.017,2.765,0,1,5,16,0.5,3,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Cd,CdTe_0.5Se_0.5,M_i_old,1.279,3.594,0,1,5,12,0.5,3,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_old,1.338,3.813,0,0,5,16,0.5,3,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Se,CdTe_0.5Se_0.5,M_i_old,1.393,4.027,0,0,4,16,0.5,3,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Te,CdTe_0.5Se_0.5,M_i_old,1.443,4.234,0,-1,5,16,0.5,3,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Cd,CdTe_0.5Se_0.5,M_i_old,1.678,5.355,0,0,5,12,0.5,3,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Se,CdTe_0.5Se_0.5,M_i_old,1.906,6.728,0,-1,4,16,0.5,3,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Cd,CdTe_0.5Se_0.5,M_i_old,2.014,7.497,0,-1,5,12,0.5,3,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_old,2.375,10.755,0,-2,5,16,0.5,3,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Se,CdTe_0.5Se_0.5,M_i_old,2.489,12.05,0,-2,4,16,0.5,3,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Cd,CdTe_0.5Se_0.5,M_i_old,2.499,12.167,0,-2,5,12,0.5,3,3,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Se,CdTe_0.5Se_0.5,M_i_Se_site,-0.696,0.499,0,3,4,16,0.75,3,4,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Cd,CdTe_0.5Se_0.5,M_i_Se_site,-0.68,0.506,0,3,5,12,0.75,3,4,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_Se_site,-0.296,0.743,0,3,5,16,0.75,3,4,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Se,CdTe_0.5Se_0.5,M_i_Se_site,0.316,1.371,0,2,4,16,0.75,3,4,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Se,CdTe_0.5Se_0.5,M_i_Se_site,0.476,1.609,0,1,4,16,0.75,3,4,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Cd,CdTe_0.5Se_0.5,M_i_Se_site,0.648,1.912,0,2,5,12,0.75,3,4,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_Se_site,0.66,1.934,0,2,5,16,0.75,3,4,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Te,CdTe_0.5Se_0.5,M_i_Se_site,0.894,2.445,0,1,5,16,0.75,3,4,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Se,CdTe_0.5Se_0.5,M_i_Se_site,0.979,2.662,0,0,4,16,0.75,3,4,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
Cd,CdTe_0.5Se_0.5,M_i_Se_site,1.074,2.926,0,1,5,12,0.75,3,4,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2
Te,CdTe_0.5Se_0.5,M_i_Se_site,1.283,3.607,0,0,5,16,0.75,3,4,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Se,CdTe_0.5Se_0.5,M_i_Se_site,1.343,3.83,0,-1,4,16,0.75,3,4,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6
